customer_id,first_name,last_name,gender,date_of_birth,registration_date,customer_type,status,source_system,dq_flag,dw_created_date,dw_modified_date,dw_created_by,dw_modified_by,run_id,batch_id
438f048e-0932-4c8c-8fbf-4f1e29bc19ce,Arjit,Kumar,Male,1984-09-03,2020-09-30,individual,active,flipkart_seller_portal,valid,2019-06-25 05:15:28,2019-06-25 05:15:28,etl_service,etl_service,1c782002-5d93-4e51-af24-70d558ab918e,BATCH_7912
2eeb159f-8e63-4878-ab8d-b08e0af80d05,Aditya,Sharma,Male,1979-08-13,2020-08-10,business,inactive,flipkart_web,valid,2021-05-20 12:49:09,2021-05-20 12:49:09,etl_service,etl_service,1f1f0340-c49a-42b0-8b29-42543ab843ac,BATCH_9928
b7b45521-12c5-4a90-87a0-27df2f9ccdcf,Priya,Rao,Female,1984-12-15,2018-01-27,individual,blocked,flipkart_app,valid,2022-09-23 15:10:41,2022-09-23 15:10:41,etl_service,etl_service,7458bafa-9440-4073-8346-d1116c17d4fd,BATCH_3547
c9868f16-faf6-4bdf-89f0-d7c194bf83aa,Saanvi,Ghosh,Female,1969-03-03,2019-01-15,individual,active,flipkart_app,duplicate,2023-11-08 06:23:42,2023-11-08 06:23:42,etl_service,etl_service,3bc8716e-06ea-47a4-928e-dfa1111980ee,BATCH_5333
7c4a35ad-ea8e-4081-a8ea-a41e24443488,Aditya,Dubey,Female,1971-03-14,2022-03-31,individual,inactive,flipkart_app,duplicate,2024-02-26 02:55:26,2024-02-26 02:55:26,etl_service,etl_service,dce81a1d-1754-404d-a0c5-ab4631752e3d,BATCH_4150
a00df574-7dac-4cd7-b0c2-944a8c2a617a,Kiara,Gupta,Male,1980-06-11,2026-09-02,individual,active,flipkart_web,duplicate,2019-09-20 14:25:30,2019-09-20 14:25:30,etl_service,etl_service,2862455c-812b-4af7-919a-7613a3a16acc,BATCH_7227
e5495e9d-9f45-415e-9e57-c602390e2b6b,Navya,Malhotra,Other,1992-09-23,2019-10-29,individual,active,flipkart_web,invalid,2022-07-17 22:37:04,2022-07-17 22:37:04,etl_service,etl_service,9423b43f-961f-4b69-954d-aedbd1909832,BATCH_2169
1aab96b8-f78a-4e34-b8de-f4fe60f3eb5d,Shreya,Agarwal,Male,1981-12-17,2019-11-01,individual,active,flipkart_app,invalid,2021-09-26 15:23:16,2021-09-26 15:23:16,etl_service,etl_service,3dd465e8-3924-4238-8122-e80e747f2798,BATCH_6313
37628974-69ed-44d6-bc72-06d6d94116aa,Siya,Ghosh,Male,1980-07-19,2018-05-12,individual,active,flipkart_app,valid,2021-08-04 00:02:29,2021-08-04 00:02:29,etl_service,etl_service,f2541f66-d292-4090-9aea-0e3df7326a6e,BATCH_6155
d438a469-465f-42b5-be62-f75ca5017b6f,Saanvi,Agarwal,Female,1995-06-30,2025-03-18,individual,active,flipkart_app,valid,2022-03-13 11:45:35,2022-03-13 11:45:35,etl_service,etl_service,3e2680e3-412b-49c5-a381-1a26d8f56185,BATCH_9830
