contact_id,customer_id,email,phone,contact_type,is_verified,source_system,dq_flag,dw_created_date,dw_modified_date,dw_created_by,dw_modified_by,run_id,batch_id
d8b9ea49-ad30-43a1-8011-4c6621f5c78d,438f048e-0932-4c8c-8fbf-4f1e29bc19ce,arjit.kumar713@yahoo.com,9751797908,primary,False,flipkart_seller_portal,valid,2025-05-21 04:55:58,2025-05-21 04:55:58,etl_service,etl_service,770241a9-1837-48b7-82aa-3fd9080cc1ac,BATCH_7454
72be6b8d-37d6-4b3d-bb13-2dd55c90c3ae,2eeb159f-8e63-4878-ab8d-b08e0af80d05,aditya.sharma872@gmail.com,9162128726,primary,True,flipkart_seller_portal,valid,2024-05-31 03:09:28,2024-05-31 03:09:28,etl_service,etl_service,2bc4c44a-89ba-4af0-a467-beed21834a52,BATCH_2040
2a837e89-5f38-48f0-aad4-c4dc8b83497a,b7b45521-12c5-4a90-87a0-27df2f9ccdcf,priya.rao63@yahoo.com,9024418919,primary,True,flipkart_web,duplicate,2025-10-13 07:34:30,2025-10-13 07:34:30,etl_service,etl_service,9a0448ec-2324-4399-84b0-722231abf565,BATCH_6427
2b515cae-f58e-474d-bf34-fd13c32be227,c9868f16-faf6-4bdf-89f0-d7c194bf83aa,saanvi.ghosh681@rediffmail.com,9221509452,primary,True,flipkart_seller_portal,invalid,2019-12-06 00:47:59,2019-12-06 00:47:59,etl_service,etl_service,73c50ba6-1d0d-4229-bd63-9e776f044a76,BATCH_5866
82b86be8-2509-4136-b006-b0b14d4b7db7,7c4a35ad-ea8e-4081-a8ea-a41e24443488,aditya.dubey798@outlook.com,9607691521,primary,True,flipkart_seller_portal,duplicate,2023-03-26 21:10:13,2023-03-26 21:10:13,etl_service,etl_service,e8cd0aac-cd3b-491f-9443-b9f52488a997,BATCH_2784
ff9165b5-cdf3-4d0a-9538-f1a661c5e940,a00df574-7dac-4cd7-b0c2-944a8c2a617a,kiara.gupta435@rediffmail.com,9902011205,primary,True,flipkart_seller_portal,valid,2026-06-23 03:44:57,2026-06-23 03:44:57,etl_service,etl_service,21ba6888-e2d8-4de8-aa30-36e102795ab5,BATCH_5243
eff33a51-a522-46b5-9b70-e9f8b6e36de3,e5495e9d-9f45-415e-9e57-c602390e2b6b,navya.malhotra720@rediffmail.com,9561013639,primary,False,flipkart_app,valid,2024-12-14 14:09:53,2024-12-14 14:09:53,etl_service,etl_service,aa1ef94e-0e6a-44a8-afad-0b2e7dba0b0d,BATCH_6363
cf38161a-afd2-4b68-a41e-b2de6135ba5a,e5495e9d-9f45-415e-9e57-c602390e2b6b,navya.malhotra356@gmail.com,9282303435,work,True,flipkart_web,valid,2024-08-15 02:22:32,2024-08-15 02:22:32,etl_service,etl_service,3d32cea7-f8ec-41af-a97c-d0baaf679c0e,BATCH_4684
36107554-fbf8-493c-90a4-00ed7703cbbc,1aab96b8-f78a-4e34-b8de-f4fe60f3eb5d,shreya.agarwal514@gmail.com,9100898881,primary,True,flipkart_app,valid,2020-03-18 10:34:48,2020-03-18 10:34:48,etl_service,etl_service,ae93ba94-ad4e-4fe1-8743-a6fb3fb80eb7,BATCH_8354
dc02453e-69fd-4383-b356-f2082aa225d9,37628974-69ed-44d6-bc72-06d6d94116aa,siya.ghosh159@yahoo.com,9013199636,primary,False,flipkart_web,valid,2021-03-06 23:44:00,2021-03-06 23:44:00,etl_service,etl_service,bd577763-253f-4676-ad21-61d3d9de3214,BATCH_7162
