address_id,customer_id,contact_id,address_type,address_line1,address_line2,city,state,country,postal_code,is_default,source_system,dq_flag,dw_created_date,dw_modified_date,dw_created_by,dw_modified_by,run_id,batch_id
cca7aee0-cfa4-4159-b528-c339caa654c8,438f048e-0932-4c8c-8fbf-4f1e29bc19ce,d8b9ea49-ad30-43a1-8011-4c6621f5c78d,shipping,"719, Market Yard",Near City Mall,Ghaziabad,Uttar Pradesh,India,295248,True,flipkart_app,valid,2022-12-05 07:31:30,2022-12-05 07:31:30,etl_service,etl_service,5e30dfca-d03d-4715-9025-ad98e5d7b47b,BATCH_1476
31d20beb-5081-4575-8f14-dedcc6d4fcd7,2eeb159f-8e63-4878-ab8d-b08e0af80d05,72be6b8d-37d6-4b3d-bb13-2dd55c90c3ae,shipping,"10, Park Street",Near Central Park,Ludhiana,Punjab,India,648668,True,flipkart_seller_portal,valid,2024-06-09 11:03:36,2024-06-09 11:03:36,etl_service,etl_service,549ee807-1854-4600-97cd-3701685de1f7,BATCH_7636
176d16be-f7e8-4719-9c05-3b9bb767b263,b7b45521-12c5-4a90-87a0-27df2f9ccdcf,2a837e89-5f38-48f0-aad4-c4dc8b83497a,shipping,"367, Park Street",Near Metro Station,Surat,Gujarat,India,406464,True,flipkart_seller_portal,valid,2019-11-28 00:06:57,2019-11-28 00:06:57,etl_service,etl_service,75fcb534-b45b-4e0a-aa85-5e9f6c211a74,BATCH_9372
5cec786d-20dd-4ca1-b367-7a01d9e4eca9,b7b45521-12c5-4a90-87a0-27df2f9ccdcf,2a837e89-5f38-48f0-aad4-c4dc8b83497a,billing,"277, Gandhi Nagar",Near City Mall,Bengaluru,Karnataka,India,765693,False,flipkart_app,valid,2023-11-11 23:10:42,2023-11-11 23:10:42,etl_service,etl_service,d376618a-e263-4dc7-955e-5c02cdc8ad27,BATCH_7322
71406a70-a719-48f2-b1f0-2e48886855bb,c9868f16-faf6-4bdf-89f0-d7c194bf83aa,2b515cae-f58e-474d-bf34-fd13c32be227,shipping,"939, Ring Road",Near Central Park,Patna,Bihar,India,246360,True,flipkart_app,invalid,2022-03-21 19:10:02,2022-03-21 19:10:02,etl_service,etl_service,5ad00d4a-41a0-4f13-84f5-23b0e869bb1f,BATCH_1806
987595ab-6d59-4739-9496-b63c82cb620b,7c4a35ad-ea8e-4081-a8ea-a41e24443488,82b86be8-2509-4136-b006-b0b14d4b7db7,shipping,"727, MG Road",Near Metro Station,Indore,Madhya Pradesh,India,497464,True,flipkart_app,invalid,2025-09-19 18:09:12,2025-09-19 18:09:12,etl_service,etl_service,82757aa9-a9e0-46fb-9fba-a7bb2b17c564,BATCH_9856
25d41e95-4090-4739-8dc1-0e48b1353d35,a00df574-7dac-4cd7-b0c2-944a8c2a617a,ff9165b5-cdf3-4d0a-9538-f1a661c5e940,shipping,"467, Hill Road",Near Metro Station,Patna,Bihar,India,756188,True,flipkart_seller_portal,valid,2022-09-24 05:49:29,2022-09-24 05:49:29,etl_service,etl_service,b2ffff00-da85-45e1-ab9d-1659cbca0ce0,BATCH_3576
059e97c5-aee0-4f41-ab10-6628c47d39c5,e5495e9d-9f45-415e-9e57-c602390e2b6b,eff33a51-a522-46b5-9b70-e9f8b6e36de3,shipping,"594, Hill Road",Near Community Hall,Mumbai,Maharashtra,India,788209,True,flipkart_seller_portal,valid,2022-10-17 15:48:25,2022-10-17 15:48:25,etl_service,etl_service,1a3e5e39-a275-44b0-b2ac-cea85e973c9d,BATCH_6843
55462113-6eae-4602-9996-d8b8ac9a3d79,e5495e9d-9f45-415e-9e57-c602390e2b6b,cf38161a-afd2-4b68-a41e-b2de6135ba5a,shipping,"115, Gandhi Nagar",Near Metro Station,Nagpur,Maharashtra,India,227798,True,flipkart_web,valid,2019-01-04 07:21:35,2019-01-04 07:21:35,etl_service,etl_service,8358910d-18d0-48f3-8bf8-57e850b3c8fe,BATCH_8098
436eaa70-ee67-4ed8-8ac3-3a6efd912fa6,1aab96b8-f78a-4e34-b8de-f4fe60f3eb5d,36107554-fbf8-493c-90a4-00ed7703cbbc,shipping,"486, Park Street",Near Central Park,Coimbatore,Tamil Nadu,India,298157,True,flipkart_seller_portal,invalid,2018-02-03 12:50:03,2018-02-03 12:50:03,etl_service,etl_service,d7243a9d-20e5-41d6-a2fd-e304365c3236,BATCH_5811
acb3d715-2354-4691-808b-5168325713d0,1aab96b8-f78a-4e34-b8de-f4fe60f3eb5d,36107554-fbf8-493c-90a4-00ed7703cbbc,home,"77, MG Road",Near Bus Depot,Bengaluru,Karnataka,India,397218,False,flipkart_web,invalid,2026-11-29 03:53:10,2026-11-29 03:53:10,etl_service,etl_service,496b10a9-dd6c-406b-bb67-c073e46e83e8,BATCH_4156
70e4ca90-9190-43b9-9e57-c6d70dae891f,37628974-69ed-44d6-bc72-06d6d94116aa,dc02453e-69fd-4383-b356-f2082aa225d9,shipping,"287, Sector 15",Near Metro Station,Delhi,Delhi,India,178028,True,flipkart_seller_portal,duplicate,2023-08-12 22:46:44,2023-08-12 22:46:44,etl_service,etl_service,eaa9d099-d94b-4efb-add8-867a917a1811,BATCH_9951
